"地方公共団体名","地方公共団体名称","名称","名称_カナ","名称_英語","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等_方書","アドレスマッチング","設置位置","緯度","経度","高度の種別","高度の値","男性トイレ総数","男性トイレ数_小便器","男性トイレ数_和式","男性トイレ数_洋式","女性トイレ総数","女性トイレ数_和式","女性トイレ数_洋式","男女共同トイレ総数","男女共同トイレ数_和式","男女共同トイレ数_洋式","バリアフリートイレ数","車椅子使用者用トイレ有無","乳幼児用設備設置トイレ有無","オストメイト設置トイレ有無","利用開始時間","利用終了時間","利用可能時間特記事項","画像","画像_ライセンス","備考","所管課","経度","緯度","分類"
"熊谷市","埼玉県熊谷市","箱田第4公園","ハコダダイヨンコウエン","","112020","0004001","埼玉県熊谷市中央1-148","埼玉県","熊谷市","中央1","148","","熊谷市中央1-148","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.391605501873","36.1548941678821","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","久下第1公園","クゲダイイチコウエン","","112020","0023001","埼玉県熊谷市久下1-42","埼玉県","熊谷市","久下1","42","","熊谷市久下1-42","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.425956272201","36.1147002113683","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","久下第2公園","クゲダイニコウエン","","112020","0023001","埼玉県熊谷市久下1-167","埼玉県","熊谷市","久下1","167","","熊谷市久下1-167","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.427323270582","36.1170222888816","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","久下第3公園","クゲダイサンコウエン","","112020","0023003","埼玉県熊谷市久下3-103","埼玉県","熊谷市","久下3","103","","熊谷市久下3-103","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.430519278655","36.1160646404629","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","久下第4公園","クゲダイヨンコウエン","","112020","0023004","埼玉県熊谷市久下4-171","埼玉県","熊谷市","久下4","171","","熊谷市久下4-171","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.434039126936","36.1196195961273","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","雀宮第2公園","スズメノミヤダイニコウエン","","112020","0028000","埼玉県熊谷市肥塚393-1","埼玉県","熊谷市","肥塚","393-1","","熊谷市肥塚393-1","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.393743817265","36.1601424723872","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","玉井稲荷木第1公園","タマイイナリギダイイチコウエン","","112020","0005003","埼玉県熊谷市玉井南3-19","埼玉県","熊谷市","玉井南3","19","","熊谷市玉井南3-19","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.345952962404","36.1739513715864","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","玉井稲荷木第2公園","タマイイナリギダイニコウエン","","112020","0005002","埼玉県熊谷市玉井南2-88","埼玉県","熊谷市","玉井南2","88","","熊谷市玉井南2-88","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.347055752848","36.1766029446922","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","上之公園","カミノコウエン","","112020","0140000","埼玉県熊谷市上之1774-2","埼玉県","熊谷市","上之","1774-2","","熊谷市上之1774-2","公園内","","","","","","","","","","","","","","","1","有","無","有","","","","","","","公園緑地課","139.398081186725","36.1537355054681","公衆トイレ一覧"
"熊谷市","埼玉県熊谷市","玉井在家第1公園","タマイザイケダイイチコウエン","","112020","0002003","埼玉県熊谷市玉井3-69","埼玉県","熊谷市","玉井3","69","","熊谷市玉井3-69","公園内","","","","","","","","","","","","","","","0","無","無","無","","","","","","","公園緑地課","139.340465590533","36.1800352256533","公衆トイレ一覧"
